what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1424604699461
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1424604700043
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424604703405
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424604753216
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424604755796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424604866560
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424604868852
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605828177
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605840664
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605858051
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1424605859786
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1424605859846
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1424605860009
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1424605860559
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1424605860735
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1424605871101
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605872684
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605873719
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1424605878225
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605879560
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605882571
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605883091
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605891686
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1424605894475
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605898712
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605899662
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605899902
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605914097
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1424605923804
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1424605937553
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1424605938098
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605940118
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605941178
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605942639
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605947602
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1424605949603
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1424605976856
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1424605977156
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1424605977317
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605977422
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605981262
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605981327
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424605982550
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1424605999845
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424606001430
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424606827219
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1424606832652
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1424606844051
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1424606856127
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424606858573
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424606860026
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424606860249
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20090508-2000,"org.eclipse.team.cvs.ssh2",1424606860620
stopped,bundle,org.eclipse.team.cvs.ssh,3.2.100.I20090508-2000,"org.eclipse.team.cvs.ssh",1424606860621
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1424606860694
stopped,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1424606860696
stopped,bundle,org.eclipse.jsch.ui,1.1.200.r35x_20100210-1114,"org.eclipse.jsch.ui",1424606860697
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1424606860697
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20091009_35x,"org.eclipse.help.webapp",1424606860699
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1424606860701
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1424606860702
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v200906151043,"org.eclipse.emf.cheatsheets",1424606860704
stopped,bundle,org.eclipse.gmf.doc.ui,1.3.0.v20090729-2029,"org.eclipse.gmf.doc.ui",1424606860705
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.100.v20090424-1042,"org.eclipse.gmf.codegen.ui",1424606860706
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1424606860708
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1424606860710
stopped,bundle,com.soyatec.eemf,3.4.0.20091121,"com.soyatec.eemf",1424606860711
stopped,bundle,com.soyatec.additional,2.7.0.20091121,"com.soyatec.additional",1424606860712
stopped,bundle,com.soyatec.core,2.7.0.20091121,"com.soyatec.core",1424606860713
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1424606860714
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1424606860716
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1424606860718
stopped,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1424606860718
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1424606860719
stopped,bundle,com.cloudgarden.jigloo,4.4.4,"com.cloudgarden.jigloo",1424606860719
stopped,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1424606860721
stopped,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1424606860722
stopped,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1424606860722
stopped,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1424606860722
stopped,bundle,org.eclipse.help.base,3.4.0.v201002111343,"org.eclipse.help.base",1424606860722
